CMS Chronic Conditions Data Warehouse (CCW) Data Dictionary
Value Modifier Practice-Level RIF / Performance Year 2016
Version - August 2018
Variable Name	Variable Label (Short Description)	Long Description	Position	Format	Length	Notes
CATEGORY_POST_IR	Practice met minimum PQRS reporting requirements (post-IR)	Practice met minimum 2016 PQRS reporting requirements after Informal Review process	15	Char	4	CAT1=Practice subject to the 2018 Value Modifier and met minimum 2016 PQRS reporting requirements, CAT2=Practice subject to the 2018 Value Modifier and did not meet minimum 2016 PQRS reporting requirements.
CATEGORY	Practice met minimum PQRS reporting requirements (pre-IR)	Practice met minimum 2016 PQRS reporting requirements before Informal Review process	16	Char	4	CAT1=Practice subject to the 2018 Value Modifier and met minimum 2016 PQRS reporting requirements, CAT2=Practice subject to the 2018 Value Modifier and did not meet minimum 2016 PQRS reporting requirements.
MET_MIN_REPORTING_REQ_POST_IR	Practice met the minimum reporting requirement (post-IR)	Indicator for whether practice met the minimum reporting requirement after Informal Review process	17	Num	8	Equals 1 if practice met the minimum reporting requirement after Informal Review process
MET_MIN_REPORTING_REQ	Practice met the minimum reporting requirement (pre-IR)	Indicator for whether practice met the minimum reporting requirement before Informal Review process	18	Num	8	Equals 1 if practice met the minimum reporting requirement before Informal Review process
MET_MIN_REPORTING_REQ_ACO	Practice's SSP ACO successfully reported to the PQRS to avoid the PQRS payment adjustment	Practice's Medicare Shared Savings Program Accountable Care Organization successfully reported to the PQRS to avoid the PQRS payment adjustment	19	Num	8	Equals 1 if practice's SSP ACO successfully reported to the PQRS to avoid the PQRS payment adjustment
MET_MIN_UNSATIS_ACO	Practice's SSP ACO did not successfully report to the PQRS but the practice met the minimum reporting requirement outside of the ACO	Practice's Medicare Shared Savings Program Accountable Care Organization (ACO) did not successfully report to the PQRS to avoid the PQRS payment adjustment but the practice met the minimum reporting requirement outside of the ACO	20	Num	8	Equals 1 if practice's SSP ACO did not successfully report to the PQRS but the practice met the minimum reporting requirement outside of the ACO
PCT_AVOIDED_PAY_ADJ_POST_IR	Percent of EPs in a practice who avoided the PQRS payment adjustment (post-IR)	Percent of individual eligible professionals in practice who avoided the 2018 PQRS payment adjustment after Informal Review process	21	Num	8	
PCT_AVOIDED_PAY_ADJ	Percent of EPs in a practice who avoided the 2018 PQRS payment adjustment (pre-IR)	Percent of individual eligible professionals in practice who avoided the 2018 PQRS payment adjustment before Informal Review process	22	Num	8	
IEP_50_PERCENT_RULE_POST_IR	Practice had at least 50% of EPs who met minimum PQRS reporting requirements (post-IR)	Indicator for whether 50 percent or more of eligible professionals in practice met the 2016 PQRS reporting requirements after Informal Review process	23	Num	8	Equals 1 if 50 percent or more of eligible professionals in practice met the 2016 PQRS reporting requirements
IEP_50_PERCENT_RULE	Practice had at least 50% of EPs who met minimum PQRS reporting requirements (pre-IR)	Indicator for whether 50 percent or more of eligible professionals in practice met the 2016 PQRS reporting requirements before Informal Review process	24	Num	8	Equals 1 if 50 percent or more of eligible professionals in practice met the 2016 PQRS reporting requirements
NUMTR_50_PCT_RULE_POST_IR	Numerator for IEP 50% rule calculation (post-IR)	Number of eligible professionals in practice who individually met the minimum reporting criteria to avoid the 2018 PQRS payment adjustment after Informal Review process (Numerator for the 50 percent rule calculation)	25	Num	8	
NUMTR_50_PCT_RULE	Numerator for IEP 50% rule calculation (pre-IR)	Number of eligible professionals in practice who individually met the minimum reporting criteria to avoid the 2018 PQRS payment adjustment before Informal Review process (Numerator for the 50 percent rule calculation)	26	Num	8	
CAHPS_ELECT_REGDATA	Elected CAHPS to be included in Quality Composite	Indicator for whether practice elected to include CAHPS measures in Quality Composite Score	27	Num	8	Equals 1 if practice elected to include CAHPS measures in Quality Composite Score.
CAHPS_REPORTING_REGDATA	Registered to report CAHPS data	Indicator for whether practice registered to report CAHPS data	28	Num	8	Equals 1 if practice registered to report CAHPS data
COST_COMP_TIER_POST_IR	Cost Composite Tier (post-IR)	Cost Composite Tier indicator after Informal Review process: low, average, or high. Average Cost Composite Tier is applied to practices with Cost Composite Scores that are more than 1 standard deviation from the peer group mean but not statistically significantly different from the peer group mean.	29	Num	8	1=Low, 2=Average, 3=High, .=Practice did not meet minimum 2016 PQRS reporting requirements
COST_COMP_TIER	Cost Composite Tier (pre-IR)	Cost Composite Tier indicator before Informal Review process: low, average, or high. Average Cost Composite Tier is applied to practices with Cost Composite Scores that are more than 1 standard deviation from the peer group mean but not statistically significantly different from the peer group mean.	30	Num	8	1=Low, 2=Average, 3=High, .=Practice did not meet minimum 2016 PQRS reporting requirements
QUAL_COMP_TIER_POST_IR	Quality Composite Tier (post-IR)	Quality Composite Tier indicator after Informal Review process: low, average, or high. Average Quality Composite Tier is applied to practices with Quality Composite Scores that are more than 1 standard deviation from the peer group mean but not statistically significantly different from the peer group mean.	31	Num	8	1=Low, 2=Average, 3=High, .=Practice did not meet minimum 2016 PQRS reporting requirements
QUAL_COMP_TIER	Quality Composite Tier (pre-IR)	Quality Composite Tier indicator before Informal Review process: low, average, or high. Average Quality Composite Tier is applied to practices with Quality Composite Scores that are more than 1 standard deviation from the peer group mean but not statistically significantly different from the peer group mean.	32	Num	8	1=Low, 2=Average, 3=High, .=Practice did not meet minimum 2016 PQRS reporting requirements
COST_COMP_TIER_TEXT_POST_IR	Cost Composite Tier: High, Average, Low, N/A (post-IR)	Cost Composite Tier value determined based on Cost Composite Tier (High, Average, Low, N/A) after Informal Review process	33	Char	40	N/A=Practice did not meet minimum 2016 PQRS reporting requirements, Low=Practice's Cost Composite Score is at least one standard deviation below benchmark and statistically significantly different from benchmark, Average=Practice's Cost Composite Score is less than one standard deviation away from the benchmark, practice's Cost Composite Score is at least one standard deviation from benchmark but not statistically significantly different from benchmark, or practice does not have at least minimum number of eligible cases for any cost measures included in Cost Composite, High=Practice's Cost Composite Score is at least one standard deviation above benchmark and statistically significantly different from benchmark.
COST_COMP_TIER_TEXT	Cost Composite Tier: High, Average, Low, N/A (pre-IR)	Cost Composite Tier value determined based on Cost Composite Tier (High, Average, Low, N/A) before Informal Review process	34	Char	8	N/A=Practice did not meet minimum 2016 PQRS reporting requirements, Low=Practice's Cost Composite Score is at least one standard deviation below benchmark and statistically significantly different from benchmark, Average=Practice's Cost Composite Score is less than one standard deviation away from the benchmark, practice's Cost Composite Score is at least one standard deviation from benchmark but not statistically significantly different from benchmark, or practice does not have at least minimum number of eligible cases for any cost measures included in Cost Composite, High=Practice's Cost Composite Score is at least one standard deviation above benchmark and statistically significantly different from benchmark.
QUAL_COMP_TIER_TEXT_POST_IR	Quality Composite Tier: High, Average, Low, N/A (post-IR)	Quality Composite Tier value determined based on Quality Composite Tier (High, Average, Low, N/A) after Informal Review process	35	Char	40	N/A=Practice did not meet minimum 2016 PQRS reporting requirements, Low=Practice's Quality Composite Score is at least one standard deviation below benchmark and statistically significantly different from benchmark, Average=Practice's Quality Composite Score is less than one standard deviation away from the benchmark, practice's Quality Composite Score is at least one standard deviation from benchmark but not statistically significantly different from benchmark, or practice does not have at least minimum number of eligible cases for any quality measures with prior-year benchmark included in Quality Composite, High=Practice's Quality Composite Score is at least one standard deviation above benchmark and statistically significantly different from benchmark.
QUAL_COMP_TIER_TEXT	Quality Composite Tier: High, Average, Low, N/A (pre-IR)	Quality Composite Tier value determined based on Quality Composite Tier (High, Average, Low, N/A) before Informal Review process	36	Char	8	N/A=Practice did not meet minimum 2016 PQRS reporting requirements, Low=Practice's Quality Composite Score is at least one standard deviation below benchmark and statistically significantly different from benchmark, Average=Practice's Quality Composite Score is less than one standard deviation away from the benchmark, practice's Quality Composite Score is at least one standard deviation from benchmark but not statistically significantly different from benchmark, or practice does not have at least minimum number of eligible cases for any quality measures with prior-year benchmark included in Quality Composite, High=Practice's Quality Composite Score is at least one standard deviation above benchmark and statistically significantly different from benchmark.
ZB_COST_CMPSCR_POOL_RND	(Rounded) Standardized Cost Composite Score	Standardized Cost Composite Score, rounded to the nearest 0.01	37	Num	8	
ZB_QUAL_CMPSCR_POOL_RND	(Rounded) Standardized Quality Composite Score	Standardized Quality Composite Score, rounded to the nearest 0.01	38	Num	8	These scores do not reflect a negligible change to some practices’ 30-day All-Cause Hospital Readmission rate that did not change the Value Modifier payment adjustment for any but one practice.
ELIG_UP_ADJUST_POST_IR	Eligible for high-risk bonus adjustment (post-IR)	Indicator for whether practice eligible for additional upward payment adjustment for treating disproportionate share of high-risk beneficiaries  after Informal Review process	39	Char	12	N/A=Practice did not meet minimum 2016 PQRS reporting requirements, Elig=Practice eligible for additional upward payment adjustment for treating disproportionate share of high-risk beneficiaries, Not Elig=Practice not eligible for additional upward payment adjustment for treating disproportionate share of high-risk beneficiaries.
ELIG_UP_ADJUST	Eligible for high-risk bonus adjustment (pre-IR)	Indicator for whether practice eligible for additional upward payment adjustment for treating disproportionate share of high-risk beneficiaries before Informal Review process	40	Char	12	N/A=Practice did not meet minimum 2016 PQRS reporting requirements, Elig=Practice eligible for additional upward payment adjustment for treating disproportionate share of high-risk beneficiaries, Not Elig=Practice not eligible for additional upward payment adjustment for treating disproportionate share of high-risk beneficiaries.
QUAL_COST_RISK_BONUS_POST_IR	Strong quality and cost performance for high-risk bonus adjustment (post-IR)	Indicator for whether practice designated as High Quality/Low Cost, High Quality/Average Cost, or Average Quality/Low Cost after Informal Review process	41	Num	8	Equals 1 if practice designated as High Quality/Low Cost, High Quality/Average Cost, or Average Quality/Low Cost
QUAL_COST_RISK_BONUS	Strong quality and cost performance for high-risk bonus adjustment (pre-IR)	Indicator for whether practice designated as High Quality/Low Cost, High Quality/Average Cost, or Average Quality/Low Cost before Informal Review process	42	Num	8	Equals 1 if practice designated as High Quality/Low Cost, High Quality/Average Cost, or Average Quality/Low Cost
PMT_ADJ_CAT_POST_IR	Payment adjustment category, based on Cost Composite Tier and Quality Composite Tier (post-IR)	Payment adjustment category, based on Cost Composite Tier and Quality Composite Tier after Informal Review process	43	Char	18	N/A=Practice did not meet minimum 2016 PQRS reporting requirements.
PMT_ADJ_CAT	Payment adjustment category, based on Cost Composite Tier and Quality Composite Tier (pre-IR)	Payment adjustment category, based on Cost Composite Tier and Quality Composite Tier before Informal Review process	44	Char	18	N/A=Practice did not meet minimum 2016 PQRS reporting requirements.
AC_HQ_ADJ	Adjustment value for practices with Average Cost and High Quality	Upward payment adjustment value if practice had Average Cost and High Quality	45	Char	6	N/A=Practice did not meet minimum 2016 PQRS reporting requirements.
LC_AQ_ADJ	Adjustment value for practices with Low Cost and Average Quality	Upward payment adjustment value if practice had Low Cost and Average Quality	46	Char	6	N/A=Practice did not meet minimum 2016 PQRS reporting requirements.
LC_HQ_ADJ	Adjustment value for practices with Low Cost and High Quality	Upward payment adjustment value if practice had Low Cost and High Quality	47	Char	6	N/A=Practice did not meet minimum 2016 PQRS reporting requirements.
EP_COUNT_VM	Num of EPs in practice for the VM	Number of eligible professionals (EPs) in practice for purposes of Value Modifier calculated as minimum of number EPs billing under practice and number of EPs identified via PECOS	48	Num	8	
EP_COUNT	Num of EPs in Part B claims for practice	Number of eligible professionals in Part B claims in a practice, used to determine the number of eligible professionals in a practice for the purposes of the Value Modifier	49	Num	8	
HAS_PHYSICIAN_VM	TIN has at least one physician identified in billings and at least one physician identified in PECOS		50	Num	8	Equals 1 if TIN has at least one physician identified in billings and at least one physician identified in PECOS
PECOS_EPCNT	Num of EPs for practice in PECOS	Number of eligible professionals in practice identified via PECOS	51	Num	8	
PHYS_COUNT	Num of physicians in claims	Number of physicians who billed Part B claims under practice	52	Num	8	
PECOS_NON_PHYS_COUNT	Num of nonphysician EPs associated with practice in PECOS	Number of nonphysician eligible professionals in practice identified via PECOS	53	Num	8	
PECOS_NON_PHYS_PCT	Percent of PECOS EPs who are nonphysicians	Percent of nonphysician eligible professionals in practice identified via PECOS	54	Num	8	
PECOS_PHYS_COUNT	Num of physicians associated with a practice in PECOS	Number of physician eligible professionals in practice identified via PECOS	55	Num	8	
PECOS_PHYS_PCT	Percent of PECOS EPs that are physicians	Percent of physician eligible professionals in practice identified via PECOS	56	Num	8	
NON_PHYS_COUNT	Num of nonphysician EPs in practice in claims	Number of nonphysician eligible professionals who billed Part B claims under practice	57	Num	8	
NP_PA_CNS_CRNA_COUNT	Number of NPs, PAs, CNSs, and CRNAs identified in billings	Number of nurse practitioners, physician assistants, clinical nurse specialists, and certified registered nurse anesthetists identified in billings	58	Num	8	
NP_PA_CNS_CRNA_ONLY_VM	VM-eligible practice has non-physician EPs only	Value modifier-eligible practice has non-physician eligible professionals only	59	Num	8	
PECOS_NP_PA_CNS_CRNA_COUNT	Number of NPs, PAs, CNSs, and CRNAs identified in PECOS	Number of nurse practitioners, physician assistants, clinical nurse specialists, and certified registered nurse anesthetists identified in the Provider Enrollment, Chain and Ownership System	60	Num	8	
PCT_NON_PHYS	Percent of nonphysician EPs in Part B claims	Percent of eligible professionals who are not physicians	61	Num	8	
PCT_PHYS	Percent of physicians in Part B Claims	Percent of eligible professionals who are physicians	62	Num	8	
NUM_BENES_ATTRIB_TO_GROUP	Num of benes attributed to practice in total	Number of beneficiaries attributed to practice for per capita cost and claims-based quality outcome measures	63	Num	8	
NUM_BENES_ATTRIB_PC	Num of benes attributed to practice in Step 1	Number of beneficiaries attributed to practice in Step 1 for per capita cost and claims-based quality outcome measures	64	Num	8	
NUM_BENES_ATTRIB_SPEC	Num of benes attributed to practice in Step 2	Number of beneficiaries attributed to practice in Step 2 for per capita cost and claims-based quality outcome measures	65	Num	8	
PCT_BENES_ATTRIB_PC	Percent of benes attributed to practice in Step 1	Percent of beneficiaries attributed to practice in Step 1	66	Num	8	
PCT_BENES_ATTRIB_SPEC	Percent of benes attributed to practice in Step 2	Percent of beneficiaries attributed to practice in Step 2	67	Num	8	
AVG_PCS	Average number of primary care services provided to attributed benes in total	Average number of primary care services provided to each attributed beneficiary that were billed to any practice	68	Num	8	
AVG_PCS_ATTRIB_PRAC	Average number of primary care services provided to attributed benes at practice	Average number of primary care services provided to each attributed beneficiary that were billed to this practice	69	Num	8	
AVG_PCS_NONATTRIB_PRAC	Average number of primary care services provided to attributed benes outside practice	Average number of primary care services provided to each attributed beneficiary that were billed to an outside practice	70	Num	8	
AVG_PERC_PCS_ATTRIB_PRAC	Average percent of primary care services provided to attributed benes at practice	Average percent of total primary care services provided to each attributed beneficiary at any practice that were billed to this practice	71	Num	8	
AVG_PERC_PCS_NONATTRIB_PRAC	Average percent of primary care services provided to attributed benes outside practice	Average percent of total primary care services provided to each attributed beneficiary at any practice that were billed to an outside practice	72	Num	8	
NUM_BENES_ALL	Num of eligible cases for PCC all	Number of eligible cases for Per Capita Costs for All Attributed Beneficiaries measure	73	Num	8	
SPEC_COST_ADJ_ALL	PCC for all attributed benes	Specialty-adjusted and risk-adjusted Per Capita Costs for All Attributed Beneficiaries	74	Num	8	
NUM_BENES_CHF	Num of eligible cases for PCC heart failure	Number of eligible cases for Per Capita Costs for Beneficiaries with Heart Failure measure	75	Num	8	
SPEC_COST_ADJ_CHF	PCC for attributed benes with heart failure	Specialty-adjusted and risk-adjusted Per Capita Costs for Beneficiaries with Heart Failure	76	Num	8	
NUM_BENES_COPD	Num of eligible cases for PCC COPD	Number of eligible cases for Per Capita Costs for Beneficiaries with Chronic Obstructive Pulmonary Disease (COPD) measure	77	Num	8	
SPEC_COST_ADJ_COPD	PCC for attributed benes with COPD	Specialty-adjusted and risk-adjusted Per Capita Costs for Beneficiaries with Chronic Obstructive Pulmonary Disease (COPD)	78	Num	8	
NUM_BENES_DIA	Num of eligible cases for PCC diabetes	Number of eligible cases for Per Capita Costs for Beneficiaries with Diabetes measure	79	Num	8	
SPEC_COST_ADJ_DIA	PCC for attributed benes with diabetes	Specialty-adjusted and risk-adjusted Per Capita Costs for Beneficiaries with Diabetes	80	Num	8	
NUM_BENES_IHD	Num of eligible cases for PCC CAD	Number of eligible cases for Per Capita Costs for Beneficiaries with Coronary Artery Disease measure	81	Num	8	
SPEC_COST_ADJ_IHD	PCC for attributed benes with CAD	Specialty-adjusted and risk-adjusted Per Capita Costs for Beneficiaries with Coronary Artery Disease	82	Num	8	
NUM_BENES_MSPB	Num of eligible episodes for MSPB	Number of eligible cases for Medicare Spending per Beneficiary (MSPB) measure	83	Num	8	
SPEC_COST_ADJ_MSPB	Cost for MSPB	Specialty-adjusted and risk-adjusted Per Episode Costs for the Medicare Spending per Beneficiary (MSPB)	84	Num	8	
PYWGTMN_AC_ACUTE_ACSC_RATE	Benchmark for ACSC Acute Conditions Composite	Ambulatory Care-Sensitive Condition (ACSC) Acute Conditions Composite, 2015 benchmark calculated as case-weighted mean performance rate	85	Num	8	
PYWGTSD_AC_ACUTE_ACSC_RATE	Peer group standard deviation for ACSC Acute Conditions Composite	Ambulatory Care-Sensitive Condition (ACSC) Acute Conditions Composite, 2015 peer group standard deviation (case-weighted)	86	Num	8	
PYWGTMN_AC_PN_ACSC_RATE	Benchmark for PQI-11 Bacterial Pneumonia	Ambulatory Care-Sensitive Condition (ACSC) PQI-11 Bacterial Pneumonia, 2015 benchmark calculated as case-weighted national mean performance rate	87	Num	8	
PYWGTSD_AC_PN_ACSC_RATE	Peer group standard deviation for PQI-11 Bacterial Pneumonia	Ambulatory Care-Sensitive Condition (ACSC) PQI-11 Bacterial Pneumonia, 2015 peer group standard deviation (case-weighted)	88	Num	8	
PYWGTMN_AC_UTI_ACSC_RATE	Benchmark for PQI-12 Urinary Tract Infection	Ambulatory Care-Sensitive Condition (ACSC) PQI-12 Urinary Tract Infection, 2015 benchmark calculated as case-weighted national mean performance rate	89	Num	8	
PYWGTSD_AC_UTI_ACSC_RATE	Peer group standard deviation for PQI-12 Urinary Tract Infection	Ambulatory Care-Sensitive Condition (ACSC) PQI-12 Urinary Tract Infection, 2015 peer group standard deviation (case-weighted)	90	Num	8	
PYWGTMN_AC_DH_ACSC_RATE	Benchmark for PQI-10 Dehydration	Ambulatory Care-Sensitive Condition (ACSC) PQI-10 Dehydration, 2015 benchmark calculated as case-weighted national mean performance rate	91	Num	8	
PYWGTSD_AC_DH_ACSC_RATE	Peer group standard deviation for PQI-10 Dehydration	Ambulatory Care-Sensitive Condition (ACSC) PQI-10 Dehydration, 2015 peer group standard deviation (case-weighted)	92	Num	8	
PYWGTMN_AC_CHRON_ACSC_RATE	Benchmark for ACSC Chronic Conditions Composite	Ambulatory Care-Sensitive Condition (ACSC) Chronic Conditions Composite, 2015 benchmark calculated as case-weighted mean performance rate	93	Num	8	
PYWGTSD_AC_CHRON_ACSC_RATE	Peer group standard deviation for ACSC Chronic Conditions Composite	Ambulatory Care-Sensitive Condition (ACSC) Chronic Conditions Composite, 2015 peer group standard deviation (case-weighted)	94	Num	8	
PYWGTMN_AC_DIAB_ACSC_RATE	Benchmark for Diabetes Composite (4 indicators)	Ambulatory Care-Sensitive Condition (ACSC) Diabetes Composite (4 indicators), 2015 benchmark calculated as case-weighted national mean performance rate	95	Num	8	
PYWGTSD_AC_DIAB_ACSC_RATE	Peer group standard deviation for Diabetes Composite (4 indicators)	Ambulatory Care-Sensitive Condition (ACSC) Diabetes Composite (4 indicators), 2015 peer group standard deviation (case-weighted)	96	Num	8	
PYWGTMN_AC_COPD_ACSC_RATE	Benchmark for PQI-5 COPD or Asthma	Ambulatory Care-Sensitive Condition (ACSC) PQI-5 Chronic Obstructive Pulmonary Disease (COPD) or Asthma, 2015 benchmark calculated as case-weighted national mean performance rate	97	Num	8	
PYWGTSD_AC_COPD_ACSC_RATE	Peer group standard deviation for PQI-5 COPD or Asthma	Ambulatory Care-Sensitive Condition (ACSC) PQI-5 Chronic Obstructive Pulmonary Disease (COPD) or Asthma, 2015 peer group standard deviation (case-weighted)	98	Num	8	
PYWGTMN_AC_HF_ACSC_RATE	Benchmark for PQI-8 Congestive Heart Failure	Ambulatory Care-Sensitive Condition (ACSC) PQI-8 Congestive Heart Failure, 2015 benchmark calculated as case-weighted national mean performance rate	99	Num	8	
PYWGTSD_AC_HF_ACSC_RATE	Peer group standard deviation for PQI-8 Heart Failure	Ambulatory Care-Sensitive Condition (ACSC) PQI-8 Congestive Heart Failure, 2015 peer group standard deviation (case-weighted)	100	Num	8	
PYWGTMN_AD_ACR_RATE	Benchmark for 30-day All-Cause Hospital Readmission	30-day All-Cause Hospital Readmission, 2015 benchmark calculated as case-weighted national mean performance rate	101	Num	8	
PYWGTSD_AD_ACR_RATE	Peer group standard deviation for 30-day All-Cause Hospital Readmission	30-day All-Cause Hospital Readmission, 2015 peer group standard deviation (case-weighted)	102	Num	8	
CYWGTMN_SA_COST_ADJ_ALL	Benchmark PCC for all benes for All Services	2016 benchmark (national mean) per capita cost for all attributed beneficiaries for All Services	103	Num	8	
CYWGTSD_SA_COST_ADJ_ALL	Peer group standard deviation for PCC for all benes	Per Capita Costs for All Attributed Beneficiaries, 2016 peer group standard deviation (case-weighted)	104	Num	8	
CYWGTMN_SA_ALHSP_PHYSOF_ADJ	Benchmark PCC for all benes with Outpatient EM Services, Procedures, and Therapy (excluding emergency department)	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Outpatient Evaluation and Management Services, Procedures, and Therapy (excluding emergency department)	105	Num	8	
CYWGTMN_SA_ALLEM_PHYSOF_ADJ	Benchmark PCC for all benes with EM Services Billed by EPs	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Eligible Professionals	106	Num	8	
CYWGTMN_SA_ALLEM_ADJ	Benchmark PCC for all benes with EM Services Billed by EPs in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Eligible Professionals in practice	107	Num	8	
CYWGTMN_SA_ALLEM_PRM_ADJ	Benchmark PCC for all benes with EM Services Billed by Primary Care Physicians in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Primary Care Physicians in practice	108	Num	8	
CYWGTMN_SA_ALLEM_MED_ADJ	Benchmark PCC for all benes with EM Services Billed by Medical Specialists in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Medical Specialists in practice	109	Num	8	
CYWGTMN_SA_ALLEM_SRG_ADJ	Benchmark PCC for all benes with EM Services Billed by Surgeons in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Surgeons in practice	110	Num	8	
CYWGTMN_SA_ALLEM_OTH_ADJ	Benchmark PCC for all benes with EM Services Billed by Other EPs in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Other Eligible Professionals in practice	111	Num	8	
CYWGTMN_SA_ALLEM_ADJ_OG	Benchmark PCC for all benes with EM Services Billed by EPs in other practices	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Eligible Professionals in other practices	112	Num	8	
CYWGTMN_SA_ALLEM_PRM_ADJ_OG	Benchmark PCC for all benes with EM Services Billed by Primary Care Physicians in other practices	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Primary Care Physicians in other practices	113	Num	8	
CYWGTMN_SA_ALLEM_MSG_ADJ_OG	Benchmark PCC for all benes with EM Services Billed by Medical Specialists, Surgeons, and Other EPs in other practices	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Evaluation  Management Services Billed by Medical Specialists, Surgeons, and Other Eligible Professionals in other practices	114	Num	8	
CYWGTMN_SA_ALLEM_OP_ADJ	Benchmark PCC for all benes with Other Facility-Billed EM Expenses	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Other Facility-Billed Evaluation  Management Expenses, All Other Services category	115	Num	8	
CYWGTMN_SA_ALL_MJPRC_ADJ	Benchmark PCC for all benes with Major Procedures Billed by EPs	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Eligible Professionals	116	Num	8	
CYWGTMN_SA_MJPRC_ADJ	Benchmark PCC for all benes with Major Procedures Billed by EPs in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Eligible Professionals in practice	117	Num	8	
CYWGTMN_SA_MJPRC_PRM_ADJ	Benchmark PCC for all benes with Major Procedures Billed by Primary Care Physicians in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Primary Care Physicians in practice	118	Num	8	
CYWGTMN_SA_MJPRC_MED_ADJ	Benchmark PCC for all benes with Major Procedures Billed by Medical Specialists in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Medical Specialists in practice	119	Num	8	
CYWGTMN_SA_MJPRC_SRG_ADJ	Benchmark PCC for all benes with Major Procedures Billed by Surgeons in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Surgeons in practice	120	Num	8	
CYWGTMN_SA_MJPRC_OTH_ADJ	Benchmark PCC for all benes with Major Procedures Billed by Other EPs in practice	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Other Eligible Professionals in practice	121	Num	8	
CYWGTMN_SA_MJPRC_ADJ_OG	Benchmark PCC for all benes with Major Procedures Billed by EPs in other practices	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Eligible Professionals in other practices	122	Num	8	
CYWGTMN_SA_MJPRC_PRM_ADJ_OG	Benchmark PCC for all benes with Major Procedures Billed by Primary Care Physicians in other practices	2016 benchmark (national mean) per capita cost for all attributed beneficiaries with Major Procedures Billed by Primary Care Physicians in other practices	123	Num	8	
