CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Inpatient (IP) and Skilled Nursing Facility (SNF) Encounter Records
Version — May 2025
SAS name	Label	Type	Length	2015+ 1
ICD_DGNS_CD19	Claim Diagnosis Code 19	Char	7	56
ICD_DGNS_CD20	Claim Diagnosis Code 20	Char	7	57
ICD_DGNS_CD21	Claim Diagnosis Code 21	Char	7	58
ICD_DGNS_CD22	Claim Diagnosis Code 22	Char	7	59
ICD_DGNS_CD23	Claim Diagnosis Code 23	Char	7	60
ICD_DGNS_CD24	Claim Diagnosis Code 24	Char	7	61
ICD_DGNS_CD25	Claim Diagnosis Code 25	Char	7	62
CLM_POA_IND_SW1	Claim Diagnosis Code 1 Diagnosis Present on Admission (POA) Indicator Code	Char	1	63
CLM_POA_IND_SW2	Claim Diagnosis Code 2 Diagnosis Present on Admission (POA) Indicator Code	Char	1	64
CLM_POA_IND_SW3	Claim Diagnosis Code 3 Diagnosis Present on Admission (POA) Indicator Code	Char	1	65
CLM_POA_IND_SW4	Claim Diagnosis Code 4 Diagnosis Present on Admission (POA) Indicator Code	Char	1	66
CLM_POA_IND_SW5	Claim Diagnosis Code 5 Diagnosis Present on Admission (POA) Indicator Code	Char	1	67
CLM_POA_IND_SW6	Claim Diagnosis Code 6 Diagnosis Present on Admission (POA) Indicator Code	Char	1	68
CLM_POA_IND_SW7	Claim Diagnosis Code 7 Diagnosis Present on Admission (POA) Indicator Code	Char	1	69
CLM_POA_IND_SW8	Claim Diagnosis Code 8 Diagnosis Present on Admission (POA) Indicator Code	Char	1	70
CLM_POA_IND_SW9	Claim Diagnosis Code 9 Diagnosis Present on Admission (POA) Indicator Code	Char	1	71
CLM_POA_IND_SW10	Claim Diagnosis Code 10 Diagnosis Present on Admission (POA) Indicator Code	Char	1	72
CLM_POA_IND_SW11	Claim Diagnosis Code 11 Diagnosis Present on Admission (POA) Indicator Code	Char	1	73
CLM_POA_IND_SW12	Claim Diagnosis Code 12 Diagnosis Present on Admission (POA) Indicator Code	Char	1	74
CLM_POA_IND_SW13	Claim Diagnosis Code 13 Diagnosis Present on Admission (POA) Indicator Code	Char	1	75
CLM_POA_IND_SW14	Claim Diagnosis Code 14 Diagnosis Present on Admission (POA) Indicator Code	Char	1	76
CLM_POA_IND_SW15	Claim Diagnosis Code 15 Diagnosis Present on Admission (POA) Indicator Code	Char	1	77
CLM_POA_IND_SW16	Claim Diagnosis Code 16 Diagnosis Present on Admission (POA) Indicator Code	Char	1	78
CLM_POA_IND_SW17	Claim Diagnosis Code 17 Diagnosis Present on Admission (POA) Indicator Code	Char	1	79
CLM_POA_IND_SW18	Claim Diagnosis Code 18 Diagnosis Present on Admission (POA) Indicator Code	Char	1	80
CLM_POA_IND_SW19	Claim Diagnosis Code 19 Diagnosis Present on Admission (POA) Indicator Code	Char	1	81
CLM_POA_IND_SW20	Claim Diagnosis Code 20 Diagnosis Present on Admission (POA) Indicator Code	Char	1	82
CLM_POA_IND_SW21	Claim Diagnosis Code 21 Diagnosis Present on Admission (POA) Indicator Code	Char	1	83
CLM_POA_IND_SW22	Claim Diagnosis Code 22 Diagnosis Present on Admission (POA) Indicator Code	Char	1	84
CLM_POA_IND_SW23	Claim Diagnosis Code 23 Diagnosis Present on Admission (POA) Indicator Code	Char	1	85
CLM_POA_IND_SW24	Claim Diagnosis Code 24 Diagnosis Present on Admission (POA) Indicator Code	Char	1	86
CLM_POA_IND_SW25	Claim Diagnosis Code 25 Diagnosis Present on Admission (POA) Indicator Code	Char	1	87
CLM_1ST_DGNS_E_CD	First Claim Diagnosis E Code	Char	7	88
ICD_DGNS_E_CD1	Claim Diagnosis E Code 1	Char	7	89
ICD_DGNS_E_CD2	Claim Diagnosis E Code 2	Char	7	90
ICD_DGNS_E_CD3	Claim Diagnosis E Code 3	Char	7	91
ICD_DGNS_E_CD4	Claim Diagnosis E Code 4	Char	7	92
ICD_DGNS_E_CD5	Claim Diagnosis E Code 5	Char	7	93
ICD_DGNS_E_CD6	Claim Diagnosis E Code 6	Char	7	94
ICD_DGNS_E_CD7	Claim Diagnosis E Code 7	Char	7	95
ICD_DGNS_E_CD8	Claim Diagnosis E Code 8	Char	7	96
ICD_DGNS_E_CD9	Claim Diagnosis E Code 9	Char	7	97
ICD_DGNS_E_CD10	Claim Diagnosis E Code 10	Char	7	98
CLM_E_POA_IND_SW1	Claim Diagnosis E Code 1 Diagnosis Present on Admission Indicator Code	Char	1	99
CLM_E_POA_IND_SW2	Claim Diagnosis E Code 2 Diagnosis Present on Admission Indicator Code	Char	1	100
CLM_E_POA_IND_SW3	Claim Diagnosis E Code 3 Diagnosis Present on Admission Indicator Code	Char	1	101
CLM_E_POA_IND_SW4	Claim Diagnosis E Code 4 Diagnosis Present on Admission Indicator Code	Char	1	102
CLM_E_POA_IND_SW5	Claim Diagnosis E Code 5 Diagnosis Present on Admission Indicator Code	Char	1	103
CLM_E_POA_IND_SW6	Claim Diagnosis E Code 6 Diagnosis Present on Admission Indicator Code	Char	1	104
CLM_E_POA_IND_SW7	Claim Diagnosis E Code 7 Diagnosis Present on Admission Indicator Code	Char	1	105
CLM_E_POA_IND_SW8	Claim Diagnosis E Code 8 Diagnosis Present on Admission Indicator Code	Char	1	106
CLM_E_POA_IND_SW9	Claim Diagnosis E Code 9 Diagnosis Present on Admission Indicator Code	Char	1	107
CLM_E_POA_IND_SW10	Claim Diagnosis E Code 10 Diagnosis Present on Admission Indicator Code	Char	1	108
ICD_PRCDR_CD1	Claim Procedure Code 1	Char	7	109
ICD_PRCDR_CD2	Claim Procedure Code 2	Char	7	110
ICD_PRCDR_CD3	Claim Procedure Code 3	Char	7	111
ICD_PRCDR_CD4	Claim Procedure Code 4	Char	7	112
ICD_PRCDR_CD5	Claim Procedure Code 5	Char	7	113
ICD_PRCDR_CD6	Claim Procedure Code 6	Char	7	114
ICD_PRCDR_CD7	Claim Procedure Code 7	Char	7	115
ICD_PRCDR_CD8	Claim Procedure Code 8	Char	7	116
ICD_PRCDR_CD9	Claim Procedure Code 9	Char	7	117
ICD_PRCDR_CD10	Claim Procedure Code 10	Char	7	118
ICD_PRCDR_CD11	Claim Procedure Code 11	Char	7	119
ICD_PRCDR_CD12	Claim Procedure Code 12	Char	7	120
ICD_PRCDR_CD13	Claim Procedure Code 13	Char	7	121
PRCDR_DT1	Claim Procedure Code 1 Date	Date	8	122
PRCDR_DT2	Claim Procedure Code 2 Date	Date	8	123
PRCDR_DT3	Claim Procedure Code 3 Date	Date	8	124
PRCDR_DT4	Claim Procedure Code 4 Date	Date	8	125
PRCDR_DT5	Claim Procedure Code 5 Date	Date	8	126
PRCDR_DT6	Claim Procedure Code 6 Date	Date	8	127
PRCDR_DT7	Claim Procedure Code 7 Date	Date	8	128
PRCDR_DT8	Claim Procedure Code 8 Date	Date	8	129
PRCDR_DT9	Claim Procedure Code 9 Date	Date	8	130
PRCDR_DT10	Claim Procedure Code 10 Date	Date	8	131
PRCDR_DT11	Claim Procedure Code 11 Date	Date	8	132
PRCDR_DT12	Claim Procedure Code 12 Date	Date	8	133
PRCDR_DT13	Claim Procedure Code 13 Date	Date	8	134
CLM_OBSLT_DT	Claim Obsolete Date	Date	8	135
CLM_BPRVDR_CITY_NAME	Billing Provider Address - City	Char	30	136
CLM_BPRVDR_USPS_STATE_CD	Billing Provider Address - USPS State Code	Char	2	137
CLM_BPRVDR_ADR_ZIP_CD	Billing Provider Address - ZIP Code	Char	9	138
CLM_SUBSCR_CITY_NAME	Medicare Subscriber Address - City	Char	30	139
CLM_SUBSCR_USPS_STATE_CD	Medicare Subscriber Address - USPS State Code	Char	2	140
CLM_SUBSCR_ADR_ZIP_CD	Medicare Subscriber Address - ZIP Code	Char	9	141
BENE_CNTY_CD	Beneficiary County Code from Claim (SSA)	Char	3	142
BENE_STATE_CD	Beneficiary Residence (SSA) State Code	Char	2	143
BENE_MLG_CNTCT_ZIP_CD	Beneficiary ZIP Code of Residence	Char	9	144
BENE_RACE_CD	Race Code	Char	1	145
DOB_DT	Date of Birth	Date	8	146
BENE_MDCR_STUS_CD	Beneficiary Medicare Status Code	Char	2	147
TAX_NUM	Provider Tax Number	Char	10	148
BENE_STATE	Beneficiary State Postal Code	Char	2	149
Revenue center file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
CLM_LINE_NUM	Claim Line Number	Num	13	4
LINE_NUM_ORIG	Original Claim Line Number	Num	13	19
CLM_THRU_DT	Claim Through Date	Date	8	5
REV_CNTR	Revenue Center Code	Char	4	6
REV_CNTR_FROM_DT	Revenue Center From Date	Date	8	7
REV_CNTR_THRU_DT	Revenue Center Thru Date	Date	8	8
REV_CNTR_UNIT_CNT	Revenue Center Unit Count	Num	8	9
HCPCS_CD	HCFA Common Procedure Coding System (HCPCS) Code	Char	5	10
HCPCS_1ST_MDFR_CD	HCPCS Initial Modifier Code	Char	2	11
HCPCS_2ND_MDFR_CD	HCPCS Second Modifier Code	Char	2	12
HCPCS_3RD_MDFR_CD	HCPCS Third Modifier Code	Char	2	13
REV_CNTR_IDE_NDC_UPC_NUM	Revenue Center IDE, NDC, or UPC Number	Char	24	14
REV_CNTR_NDC_QTY	Revenue Center National Drug Code (NDC) Quantity	Num	10	15
REV_CNTR_NDC_QTY_QLFR_CD	Revenue Center NDC Quantity Qualifier Code	Char	2	16
REV_CNTR_RNDRNG_PHYSN_NPI	Revenue Center Rendering Physician NPI	Char	10	17
LINE_LTST_CLM_IND	Line Latest Claim Indicator	Char	1	18
Condition code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_COND_CD_SEQ	Claim Related Condition Code Sequence	Char	2	4
CLM_RLT_COND_CD	Claim Related Condition Code	Char	2	5
Occurrence code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_OCRNC_CD_SEQ	Claim Related Occurrence Code Sequence	Char	2	4
CLM_RLT_OCRNC_CD	Claim Related Occurrence Code	Char	2	5
CLM_RLT_OCRNC_DT	Claim Related Occurrence Date	Date	8	6
Span code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_SPAN_CD_SEQ	Claim Related Span Code Sequence	Char	2	4
CLM_SPAN_CD	Claim Occurrence Span Code	Char	2	5
CLM_SPAN_FROM_DT	Claim Occurrence Span From Date	Date	8	6
CLM_SPAN_THRU_DT	Claim Occurrence Span Through Date	Date	8	7
Value code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_VAL_CD_SEQ	Claim Related Value Code Sequence	Char	2	4
CLM_VAL_CD	Claim Value Code	Char	2	5
1 Number shown on the matrix indicates the sequence of the data field. In 2025, the field for beneficiary sex was removed because
it is available in the Master Beneficiary Summary File; the numbering of the fields was updated.

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Home Health Agency (HHA) Encounter Records
Version — May 2025
SAS name	Label	Type	Length	2015+ 1
Base claim file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
SAMPLE_GROUP	CCW  Beneficiary Random Sample Group	Char	2	2
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	3
CLM_TYPE_CD	Claim Type Code	Char	4	4
CLM_FROM_DT	Claim From Date	Date	8	5
CLM_THRU_DT	Claim Through Date	Date	8	6
SRVC_MONTH	Service Month	Date	6	7
CLM_CHRT_RVW_SW	Claim Chart Review Switch	Char	1	8
CLM_CNTL_NUM	Claim Control Number	Char	23	9
CLM_ORIG_CNTL_NUM	Claim Original Control Number	Char	23	10
CLM_FINL_ACTN_IND	Claim Final Action Indicator	Char	1	11
CLM_LTST_CLM_IND	Latest Claim Indicator	Char	1	12
EDPS_CREATE_DT	Encounter Data Processing System (EDPS) Create Date	Date	8	13
CLM_RCPT_DT	Claim Receipt Date	Date	8	14
CLM_FAC_TYPE_CD	Claim Facility Type Code	Char	1	15
CLM_SRVC_CLSFCTN_TYPE_CD	Claim Service classification Type Code	Char	1	16
CLM_FREQ_CD	Claim Frequency Code	Char	1	17
CNTRCT_NUM	Medicare Part C Contract Number	Char	5	18
CNTRCT_PBP_NUM	Medicare Part C Plan Benefit Package (PBP) Number	Char	3	19
CLM_MDCL_REC	Claim Medical Record Number	Char	1	20
ORG_NPI	Organization NPI Number	Char	10	21
ORG_TXNMY_CD	Organization Taxonomy Code	Char	10	22
RNDRNG_PHYSN_NPI	Claim Rendering Physician NPI Number	Char	10	23
RFRG_PHYSN_NPI	Claim Referring Physician NPI Number	Char	10	24
AT_PHYSN_NPI	Claim Attending Physician NPI Number	Char	10	25
AT_PHYSN_TXNMY_CD	Claim Attending Physician Taxonomy Code	Char	10	26
OP_PHYSN_NPI	Claim Operating Physician NPI Number	Char	10	27
OT_PHYSN_NPI	Claim Other Physician NPI Number	Char	10	28
CLM_ADMSN_DT	Claim Admission Date	Date	8	29
PTNT_DSCHRG_STUS_CD	Patient Discharge Status Code	Char	2	30
BENE_DSCHRG_DT	Beneficiary Discharge Date	Date	8	31
PRNCPAL_DGNS_CD	Claim Principal Diagnosis Code	Char	7	32
ICD_DGNS_CD1	Claim Diagnosis Code 1	Char	7	33
ICD_DGNS_CD2	Claim Diagnosis Code 2	Char	7	34
ICD_DGNS_CD3	Claim Diagnosis Code 3	Char	7	35
ICD_DGNS_CD4	Claim Diagnosis Code 4	Char	7	36
ICD_DGNS_CD5	Claim Diagnosis Code 5	Char	7	37
ICD_DGNS_CD6	Claim Diagnosis Code 6	Char	7	38
ICD_DGNS_CD7	Claim Diagnosis Code 7	Char	7	39
ICD_DGNS_CD8	Claim Diagnosis Code 8	Char	7	40
ICD_DGNS_CD9	Claim Diagnosis Code 9	Char	7	41
ICD_DGNS_CD10	Claim Diagnosis Code 10	Char	7	42
ICD_DGNS_CD11	Claim Diagnosis Code 11	Char	7	43
ICD_DGNS_CD12	Claim Diagnosis Code 12	Char	7	44
ICD_DGNS_CD13	Claim Diagnosis Code 13	Char	7	45
ICD_DGNS_CD14	Claim Diagnosis Code 14	Char	7	46
ICD_DGNS_CD15	Claim Diagnosis Code 15	Char	7	47
ICD_DGNS_CD16	Claim Diagnosis Code 16	Char	7	48
ICD_DGNS_CD17	Claim Diagnosis Code 17	Char	7	49
ICD_DGNS_CD18	Claim Diagnosis Code 18	Char	7	50
ICD_DGNS_CD19	Claim Diagnosis Code 19	Char	7	51
ICD_DGNS_CD20	Claim Diagnosis Code 20	Char	7	52
ICD_DGNS_CD21	Claim Diagnosis Code 21	Char	7	53
ICD_DGNS_CD22	Claim Diagnosis Code 22	Char	7	54
ICD_DGNS_CD23	Claim Diagnosis Code 23	Char	7	55
ICD_DGNS_CD24	Claim Diagnosis Code 24	Char	7	56
ICD_DGNS_CD25	Claim Diagnosis Code 25	Char	7	57
CLM_1ST_DGNS_E_CD	First Claim Diagnosis E Code	Char	7	58
ICD_DGNS_E_CD1	Claim Diagnosis E Code 1	Char	7	59
ICD_DGNS_E_CD2	Claim Diagnosis E Code 2	Char	7	60
ICD_DGNS_E_CD3	Claim Diagnosis E Code 3	Char	7	61
RSN_VISIT_CD1	Reason for Visit Diagnosis Code 1	Char	7	62
RSN_VISIT_CD2	Reason for Visit Diagnosis Code 2	Char	7	63
RSN_VISIT_CD3	Reason for Visit Diagnosis Code 3	Char	7	64
CLM_OBSLT_DT	Claim Obsolete Date	Date	8	65
CLM_BPRVDR_CITY_NAME	Billing Provider Address - City	Char	30	66
CLM_BPRVDR_USPS_STATE_CD	Billing Provider Address - USPS State Code	Char	2	67
CLM_BPRVDR_ADR_ZIP_CD	Billing Provider Address - ZIP Code	Char	9	68
CLM_SUBSCR_CITY_NAME	Medicare Subscriber Address - City	Char	30	69
CLM_SUBSCR_USPS_STATE_CD	Medicare Subscriber Address - USPS State Code	Char	2	70
CLM_SUBSCR_ADR_ZIP_CD	Medicare Subscriber Address - ZIP Code	Char	9	71
BENE_CNTY_CD	Beneficiary County Code from Claim (SSA)	Char	3	72
BENE_STATE_CD	Beneficiary Residence (SSA) State Code	Char	2	73
BENE_MLG_CNTCT_ZIP_CD	Beneficiary ZIP Code of Residence	Char	9	74
BENE_RACE_CD	Race Code	Char	1	75
DOB_DT	Date of Birth	Date	8	76
BENE_MDCR_STUS_CD	Beneficiary Medicare Status Code	Char	2	77
TAX_NUM	Provider Tax Number	Char	10	78
BENE_STATE	Beneficiary State Postal Code	Char	2	79
Revenue center file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
CLM_LINE_NUM	Claim Line Number	Num	13	4
LINE_NUM_ORIG	Original Claim Line Number	Num	13	19
CLM_THRU_DT	Claim Through Date	Date	8	5
REV_CNTR	Revenue Center Code	Char	4	6
REV_CNTR_FROM_DT	Revenue Center From Date	Date	8	7
REV_CNTR_THRU_DT	Revenue Center Thru Date	Date	8	8
REV_CNTR_UNIT_CNT	Revenue Center Unit Count	Num	8	9
HCPCS_CD	HCFA Common Procedure Coding System (HCPCS) Code	Char	5	10
HCPCS_1ST_MDFR_CD	HCPCS Initial Modifier Code	Char	2	11
HCPCS_2ND_MDFR_CD	HCPCS Second Modifier Code	Char	2	12
HCPCS_3RD_MDRF_CD	HCPCS Third Modifier Code	Char	2	13
REV_CNTR_IDE_NDC_UPC_NUM	Revenue Center IDE, NDC, or UPC Number	Char	24	14
REV_CNTR_NDC_QTY	Revenue Center National Drug Code (NDC) Quantity	Num	10	15
REV_CNTR_NDC_QTY_QLFR_CD	Revenue Center NDC Quantity Qualifier Code	Char	2	16
REV_CNTR_RNDRNG_PHYSN_NPI	Revenue Center Rendering Physician NPI	Char	10	17
LINE_LTST_CLM_IND	Line Latest Claim Indicator	Char	1	18
Condition code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_COND_CD_SEQ	Claim Related Condition Code Sequence	Char	2	4
CLM_RLT_COND_CD	Claim Related Condition Code	Char	2	5
Occurrence code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_OCRNC_CD_SEQ	Claim Related Occurrence Code Sequence	Char	2	4
CLM_RLT_OCRNC_CD	Claim Related Occurrence Code	Char	2	5
CLM_RLT_OCRNC_DT	Claim Related Occurrence Date	Date	8	6
Span code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_SPAN_CD_SEQ	Claim Related Span Code Sequence	Char	2	4
CLM_SPAN_CD	Claim Occurrence Span Code	Char	2	5
CLM_SPAN_FROM_DT	Claim Occurrence Span From Date	Date	8	6
CLM_SPAN_THRU_DT	Claim Occurrence Span Through Date	Date	8	7
Value code file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	2
CLM_TYPE_CD	Claim Type Code	Char	4	3
RLT_VAL_CD_SEQ	Claim Related Value Code Sequence	Char	2	4
CLM_VAL_CD	Claim Value Code	Char	2	5
1 Number shown on the matrix indicates the sequence of the data field. In 2025, the field for beneficiary sex was removed because
it is available in the Master Beneficiary Summary File; the numbering of the fields was updated.

CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Hospital Outpatient Department (HOP) Encounter Records
Version — May 2025
SAS name	Label	Type	Length	2015+ 1
Base claim file
BENE_ID	Encrypted CCW Beneficiary ID	Char	15	1
SAMPLE_GROUP	CCW  Beneficiary Random Sample Group	Char	2	2
ENC_JOIN_KEY	Unique Encounter Join Key	Char	15	3
CLM_TYPE_CD	Claim Type Code	Char	4	4
CLM_FROM_DT	Claim From Date	Date	8	5
CLM_THRU_DT	Claim Through Date	Date	8	6
SRVC_MONTH	Service Month	Date	6	7
CLM_CHRT_RVW_SW	Claim Chart Review Switch	Char	1	8
CLM_CNTL_NUM	Claim Control Number	Char	23	9
CLM_ORIG_CNTL_NUM	Claim Original Control Number	Char	23	10
CLM_FINL_ACTN_IND	Claim Final Action Indicator	Char	1	11
CLM_LTST_CLM_IND	Latest Claim Indicator	Char	1	12
EDPS_CREATE_DT	Encounter Data Processing System (EDPS) Create Date	Date	8	13
CLM_RCPT_DT	Claim Receipt Date	Date	8	14
CLM_FAC_TYPE_CD	Claim Facility Type Code	Char	1	15
CLM_SRVC_CLSFCTN_TYPE_CD	Claim Service classification Type Code	Char	1	16
CLM_FREQ_CD	Claim Frequency Code	Char	1	17
CNTRCT_NUM	Medicare Part C Contract Number	Char	5	18
CNTRCT_PBP_NUM	Medicare Part C Plan Benefit Package (PBP) Number	Char	3	19
CLM_MDCL_REC	Claim Medical Record Number	Char	1	20
ORG_NPI	Organization NPI Number	Char	10	21
ORG_TXNMY_CD	Organization Taxonomy Code	Char	10	22
RNDRNG_PHYSN_NPI	Claim Rendering Physician NPI Number	Char	10	23
RFRG_PHYSN_NPI	Claim Referring Physician NPI Number	Char	10	24
AT_PHYSN_NPI	Claim Attending Physician NPI Number	Char	10	25
AT_PHSYN_TXNMY_CD	Claim Attending Physician Taxonomy Code	Char	10	26
OP_PHYSN_NPI	Claim Operating Physician NPI Number	Char	10	27
OT_PHYSN_NPI	Claim Other Physician NPI Number	Char	10	28
PTNT_DSCHRG_STUS_CD	Patient Discharge Status Code	Char	2	29
PRNCPAL_DGNS_CD	Claim Principal Diagnosis Code	Char	7	30
ICD_DGNS_CD1	Claim Diagnosis Code 1	Char	7	31
ICD_DGNS_CD2	Claim Diagnosis Code 2	Char	7	32
ICD_DGNS_CD3	Claim Diagnosis Code 3	Char	7	33
ICD_DGNS_CD4	Claim Diagnosis Code 4	Char	7	34
ICD_DGNS_CD5	Claim Diagnosis Code 5	Char	7	35
ICD_DGNS_CD6	Claim Diagnosis Code 6	Char	7	36
ICD_DGNS_CD7	Claim Diagnosis Code 7	Char	7	37
ICD_DGNS_CD8	Claim Diagnosis Code 8	Char	7	38
ICD_DGNS_CD9	Claim Diagnosis Code 9	Char	7	39
ICD_DGNS_CD10	Claim Diagnosis Code 10	Char	7	40
ICD_DGNS_CD11	Claim Diagnosis Code 11	Char	7	41
ICD_DGNS_CD12	Claim Diagnosis Code 12	Char	7	42
ICD_DGNS_CD13	Claim Diagnosis Code 13	Char	7	43
ICD_DGNS_CD14	Claim Diagnosis Code 14	Char	7	44
ICD_DGNS_CD15	Claim Diagnosis Code 15	Char	7	45
ICD_DGNS_CD16	Claim Diagnosis Code 16	Char	7	46
ICD_DGNS_CD17	Claim Diagnosis Code 17	Char	7	47
ICD_DGNS_CD18	Claim Diagnosis Code 18	Char	7	48
ICD_DGNS_CD19	Claim Diagnosis Code 19	Char	7	49
ICD_DGNS_CD20	Claim Diagnosis Code 20	Char	7	50
ICD_DGNS_CD21	Claim Diagnosis Code 21	Char	7	51
ICD_DGNS_CD22	Claim Diagnosis Code 22	Char	7	52
ICD_DGNS_CD23	Claim Diagnosis Code 23	Char	7	53
ICD_DGNS_CD24	Claim Diagnosis Code 24	Char	7	54
