CMS Chronic Conditions Data Warehouse (CCW) Data Dictionary
Value Modifier Beneficiary-Level RIF / Performance Year 2016
Version - August 2018
Variable Name	Variable Label (Short Description)	Long Description	Position	Format	Length	Notes
ACSC_ADM_UTI	ACSC admission for UTI	Indicator for whether beneficiary hospital admission counted in calculation of practice's Urinary Tract Infection Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate	20	Num	8	Populated only for records with Inpatient_stay=1. Equals 1 if beneficiary hospital admission counted in calculation of practice's Urinary Tract Infection Ambulatory Care-Sensitive Conditions (ACSC) hospitalization rate
SURVIVED_RA_ALL	Beneficiary included in Per Capita Costs for All Attributed Beneficiaries measure	Indicator for whether beneficiary was included in calculation of Per Capita Costs for All Attributed Beneficiaries measure	21	Num	8	Populated only for records with Inpatient_stay not equal to missing. Equals 1 if beneficiary was attributed to a practice for Per Capita Costs for All Attributed Beneficiaries measure.
ATTRIB_STEP	Basis for attribution	Step in which beneficiary was attributed to practice: Step 1 or 2	22	Num	3	Populated only for records with Inpatient_stay not equal to missing. Equals 1 if beneficiary attributed to practice in Step 1, equals 2 if beneficiary attributed to practice in Step 2
ED_ADM	Emergency department admission	Indicator for whether beneficiary's hospital admission occurred through emergency department	23	Num	8	Populated only for records with Inpatient_stay=1. Equals 1 if beneficiary was admitted via the emergency department
NUM_PC_SVCS_PRAC	Number of primary care services provided by practice	Number of all primary care services provided and billed by practice’s physicians, nurse practitioners, physician assistants, and clinical nurse specialists for beneficiary	24	Num	8	Populated only for records with Inpatient_stay not equal to missing
PCT_PC_SVCS_PRAC	Percent of beneficiary primary care services billed by practice	Percentage of all primary care services provided and billed by practice's physicians, nurse practitioners, physician assistants, and clinical nurse specialists for beneficiary	25	Num	8	Populated only for records with Inpatient_stay not equal to missing
LAST_CLM_DATE	Date of last claim filed by practice	Date of last claim filed by practice for beneficiary	26	Num	8	Populated only for records with Inpatient_stay not equal to missing
LAST_CLM_DATE_NPI_IN_PRIM	Date of last claim filed by NPI for beneficiary for primary care	Date of last claim filed by eligible professional in practice who billed most primary care services for beneficiary	27	Num	8	Populated only for records with Inpatient_stay not equal to missing
LAST_CLM_DATE_NPI_IN_NON	Date of last claim filed by NPI for beneficiary for non primary care	Date of last claim filed by eligible professional in practice who billed most non-primary care services for beneficiary	28	Num	8	Populated only for records with Inpatient_stay not equal to missing
LAST_CLM_DATE_NPI_OUT_NON	Date of last claim filed by NPI for beneficiary for non primary care outside practice	Date of last claim filed by eligible professional outside of practice who billed most non-primary care services for beneficiary	29	Num	8	Populated only for records with Inpatient_stay not equal to missing
LAST_CLM_DATE_NPI_OUT_PRIM	Date of last claim filed by NPI for beneficiary for primary care outside practice	Date of last claim filed by eligible professional outside of practice who billed most primary care services for beneficiary	30	Num	8	Populated only for records with Inpatient_stay not equal to missing
DATE_LAST_HOSP_ADM	Date of last hospital admission	Date of last hospital admission	31	Num	8	Populated only for records with Inpatient_stay=1
NAME_NPI_OUT_NON	Name of EP billing most non primary care services outside practice	Name of eligible professional outside of practice who billed most non-primary care services for beneficiary	32	Char	200	Populated only for records with Inpatient_stay not equal to missing
NAME_NPI_IN_NON	Name of EP billing most non primary care services in practice	Name of eligible professional in practice who billed most non-primary care services for beneficiary	33	Char	200	Populated only for records with Inpatient_stay not equal to missing
NAME_NPI_OUT_PRIM	Name of EP billing most primary care services outside practice	Name of eligible professional outside of practice who billed most primary care services for beneficiary	34	Char	200	Populated only for records with Inpatient_stay not equal to missing
NAME_NPI_IN_PRIM	Name of EP billing most primary care services in practice	Name of eligible professional in practice who billed most primary care services for beneficiary	35	Char	200	Populated only for records with Inpatient_stay not equal to missing
MAX_PCS_NPI_ATTRIB	NPI of EP billing most primary care services in practice	National Provider Identifier (NPI) of eligible professional in practice who billed most primary care services for beneficiary	36	Char	10	Populated only for records with Inpatient_stay not equal to missing
MAX_NON_PCS_NPI_ATTRIB	NPI of EP billing most non primary care services in practice	National Provider Identifier (NPI) of eligible professional in practice who billed most non-primary care services for beneficiary	37	Char	10	Populated only for records with Inpatient_stay not equal to missing
MAX_PCS_NPI_NOTATTRIB	NPI of EP billing most primary care services outside practice	National Provider Identifier (NPI) of eligible professional outside of practice who billed most primary care services for beneficiary	38	Char	10	Populated only for records with Inpatient_stay not equal to missing
MAX_NON_PCS_NPI_NOTATTRIB	NPI of EP billing most non primary care services outside practice	National Provider Identifier (NPI) of eligible professional outside of practice who billed most non-primary care services for beneficiary	39	Char	10	Populated only for records with Inpatient_stay not equal to missing
SPECIALTY_NPI_OUT_NON	Specialty of EP billing most non primary care services outside practice	Specialty of eligible professional outside of practice who billed most non-primary care services for beneficiary	40	Char	119	Populated only for records with Inpatient_stay not equal to missing
SPECIALTY_NPI_IN_NON	Specialty of EP billing most non primary care services in practice	Specialty of eligible professional in practice who billed most non-primary care services for beneficiary	41	Char	119	Populated only for records with Inpatient_stay not equal to missing
SPECIALTY_NPI_OUT_PRIM	Specialty of EP billing most primary care services outside practice	Specialty of eligible professional outside of practice who billed most primary care services for beneficiary	42	Char	119	Populated only for records with Inpatient_stay not equal to missing
SPECIALTY_NPI_IN_PRIM	Specialty of EP billing most primary care services in practice	Specialty of eligible professional in practice who billed most primary care services for beneficiary	43	Char	119	Populated only for records with Inpatient_stay not equal to missing
TOTCOST	Total payment-standardized Medicare FFS cost	Total payment-standardized Medicare Fee-For-Service costs for beneficiary	44	Num	8	Populated only for records with Inpatient_stay not equal to missing
OTHER_ALL	Total costs for all other services	Per capita cost for attributed beneficiary, All Other Services category	45	Num	8	Populated only for records with Inpatient_stay not equal to missing
MINOR_PROCS_INGRP	Total costs for ambulatory/minor procedures billed by EPs in practice	Per capita cost for attributed beneficiary, Ambulatory/Minor Procedures Billed by Eligible Professionals in practice category	46	Num	8	Populated only for records with Inpatient_stay not equal to missing
MINOR_PROCS_OTHGRP	Total costs for ambulatory/minor procedures billed by EPs outside practice	Per capita cost for attributed beneficiary, Ambulatory/Minor Procedures Billed by Eligible Professionals in Other practices category	47	Num	8	Populated only for records with Inpatient_stay not equal to missing
TOTAL_ANC	Total costs for ancillary services	Per capita cost for attributed beneficiary, Ancillary Services category	48	Num	8	Populated only for records with Inpatient_stay not equal to missing
ALL_EANDM_INGRP	Total costs for E and M services billed by EPs in given practice	Per capita cost for attributed beneficiary, Evaluation and Management Services Billed by Eligible Professionals in practice category	49	Num	8	Populated only for records with Inpatient_stay not equal to missing
ALL_EANDM_OTHGRP	Total costs for E and M services billed by EPs outside practice	Per capita cost for attributed beneficiary, Evaluation and Management Services Billed by Eligible Professionals in other practices category	50	Num	8	Populated only for records with Inpatient_stay not equal to missing
TOTAL_ER	Total costs for emergency services not included in a hospital admission	Per capita cost for attributed beneficiary, Emergency Services Not Included in a Hospital Admission category	51	Num	8	Populated only for records with Inpatient_stay not equal to missing
PHYS_DURHOSP_INGRP	Total costs for EP services during hospitalization in practice	Per capita cost for attributed beneficiary, Eligible Professional Services During Hospitalization Billed by practice category	52	Num	8	Populated only for records with Inpatient_stay not equal to missing
PHYS_DURHOSP_OTHGRP	Total costs for EP services during hospitalization outside practice	Per capita cost for attributed beneficiary, Eligible Professional Services During Hospitalization Billed by Other practices category	53	Num	8	Populated only for records with Inpatient_stay not equal to missing
HOSP_NAME	Name of hospital at which hospitalization occurred	Name of hospital to which beneficiary was admitted	54	Char	200	Populated only for records with Inpatient_stay=1 or MSPB_episode=1
INPATIENT_STAY	Inpatient stay for beneficiary attributed for per capita cost and claims-based quality outcome measures	Indicator for whether record corresponds to inpatient stay for beneficiary attributed for per capita cost and claims-based quality outcome measures	55	Num	8	Populated only for records with Attrib_step not equal to missing. Equals 1 if record corresponds to inpatient stay for beneficiary attributed for per capita cost and claims-based quality outcome measures.
MAJOR_PROCS_OTHGRP	Total costs for major procedures billed by EPs outside practice	Per capita cost for attributed beneficiary, Major Procedures Billed by Eligible Professionals in Other practices category	56	Num	8	Populated only for records with Inpatient_stay not equal to missing
MAJOR_PROCS_INGRP	Total costs for major procedures billed by EPs in practice	Per capita cost for attributed beneficiary, Major Procedures Billed by Eligible Professionals in the given practice category	57	Num	8	Populated only for records with Inpatient_stay not equal to missing
TOTAL_PA	Total costs for other post-acute care services (excluding hospice)	Per capita cost for attributed beneficiary, Post-Acute Services category	58	Num	8	Populated only for records with Inpatient_stay not equal to missing
OP_THERAPY	Total costs for outpatient physical therapy, occupational therapy, or speech and language pathology therapy	Per capita cost for attributed beneficiary, Outpatient Physical, Occupational, or Speech and Language Pathology Therapy category	59	Num	8	Populated only for records with Inpatient_stay not equal to missing
CCN	CCN of hospital at which hospitalization occurred	CMS certification number of hospital at which hospitalization occurred	60	Char	6	Populated only for records with Inpatient_stay=1, MSPB_episode=1, or SSP_ADM=1
RADM30	Hospital readmission within 30 days	Indicator for whether an unplanned readmission for any cause followed within 30 days from the date of hospital discharge	61	Num	8	Populated only for records with Inpatient_stay=1 or SSP_ADM=1. Equals 1 if beneficiary has unplanned readmission for any cause followed within 30 days from the date of hospital discharge. Does not apply to beneficiaries hospitalized for treatment of cancer or psychiatric disease, discharged against medical advice, transferred to another acute care hospital, or who died during the admission.
DGNSCD01	Primary diagnosis code for hospital admission	ICD diagnostic code determined to be chiefly responsible for beneficiary hospital admission during 2016	62	Char	7	Populated only for records with Inpatient_stay=1 or SSP_ADM=1
SHORT_DESCRIPTION	Description of principal diagnosis code for hospital admission	Description of the ICD diagnostic code determined to be chiefly responsible for beneficiary hospital stay during 2016	63	Char	250	Populated only for records with Inpatient_stay=1 or SSP_ADM=1
ADMSN_DT	Admission date of hospitalization	Date of beneficiary hospital admission	64	Num	8	Populated only for records with Inpatient_stay=1, MSPB_episode=1, or SSP_ADM=1. MM/DD/YYYY.
DSCHRGDT	Discharge date of hospitalization	Date of beneficiary's hospital discharge	65	Num	8	Populated only for records with Inpatient_stay=1, MSPB_episode=1, or SSP_ADM=1. MM/DD/YYYY
STUS_CD_ABBRV	Discharge status abbreviation	Abbreviated description of discharge status code for beneficiary's hospital stay listed on Medicare inpatient hospital claims	66	Char	200	Populated only for records with Inpatient_stay=1, MSPB_episode=1, or SSP_ADM=1
STUS_CD	Discharge status code for hospitalization	Discharge status code for beneficiary's hospital stay listed on Medicare inpatient hospital claims	67	Char	200	Populated only for records with Inpatient_stay=1, MSPB_episode=1, or SSP_ADM=1. 2 digit number
HOSPICE	Total costs for hospice services	Per capita cost for attributed beneficiary, Hospice category	68	Num	8	Populated only for records with Inpatient_stay not equal to missing
CITY_HOSP	City of hospital at which hospitalization occurred	City of hospital to which beneficiary was admitted	69	Char	200	Populated only for records with Inpatient_stay=1 or MSPB_episode=1
STATE_HOSP	State of hospital at which hospitalization occurred	Location (state) of hospital to which beneficiary was admitted	70	Char	200	Populated only for records with Inpatient_stay=1 or MSPB_episode=1
PDGNS_DESC	Description of principal diagnosis code for MSPB index hospitalization	Description of the ICD diagnostic code determined to be chiefly responsible for beneficiary Medicare Spending per Beneficiary (MSPB) index hospitalization during 2016	71	Char	200	Populated only for records with MSPB_episode=1
PDGNS_CD	Principal diagnosis code for MSPB index hospitalization	ICD diagnostic code determined to be chiefly responsible for beneficiary Medicare Spending per Beneficiary (MSPB) index hospitalization during 2016	72	Char	200	Populated only for records with MSPB_episode=1
LEAD_NPI_NAME	Name of EP with plurality of cost for MSPB	Name of the eligible professional in practice with the most standardized Medicare Part B payments during the beneficiary Medicare Spending per Beneficiary (MSPB) index hospitalization	73	Char	70	Populated only for records with MSPB_episode=1
LEAD_NPI	NPI of EP with plurality of cost for MSPB	National Provider Identifier (NPI) of the eligible professional in practice with the most standardized Medicare Part B payments during the beneficiary Medicare Spending per Beneficiary (MSPB) index hospitalization	74	Char	200	Populated only for records with MSPB_episode=1
LEAD_NPI_SPECIALTY	Specialty of EP with plurality of cost for MSPB	Specialty of the eligible professional in practice with the most standardized Medicare Part B payments during the beneficiary Medicare Spending per Beneficiary (MSPB) index hospitalization	75	Char	200	Populated only for records with MSPB_episode=1
STD_PMT_ALL_CLM	Total payment-standardized episode cost	Total payment-standardized episode cost for Medicare Spending per Beneficiary (MSPB)	76	Num	8	Populated only for records with MSPB_episode=1
COST_OTHER	MSPB all other service costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, All Other Services Not Otherwise Classified category	77	Num	8	Populated only for records with MSPB_episode=1
COST_AMBULANCE	MSPB ambulance costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Ambulance Services category	78	Num	8	Populated only for records with MSPB_episode=1
COST_ANCILLARY_IMAGING	MSPB ancillary imaging costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Ancillary Imaging Services category	79	Num	8	Populated only for records with MSPB_episode=1
COST_ANCILLARY_TESTS	MSPB ancillary lab, pathology, and other test costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Ancillary Laboratory, Pathology, and Other Tests category	80	Num	8	Populated only for records with MSPB_episode=1
COST_CHEMO_PART_B	MSPB chemotherapy and Part B drug costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Chemotherapy and Other Part B-Covered Drugs category	81	Num	8	Populated only for records with MSPB_episode=1
COST_DIALYSIS	MSPB dialysis costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Dialysis category	82	Num	8	Populated only for records with MSPB_episode=1
COST_DME	MSPB durable medical equipment costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Durable Medical Equipment and Supplies category	83	Num	8	Populated only for records with MSPB_episode=1
COST_ER_VISITS	MSPB E and M costs in an ER setting	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, ER Evaluation and Management Services category	84	Num	8	Populated only for records with MSPB_episode=1
COST_EM	MSPB E and M service costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Outpatient Evaluation and Management Services category	85	Num	8	Populated only for records with MSPB_episode=1
COST_OTHGRP_HOSP	MSPB eligible professional services billed by other practices during hospitalization	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Eligible Professional Services Billed by Other practices During Index Hospitalization category	86	Num	8	Populated only for records with MSPB_episode=1
COST_INGRP_HOSP	MSPB eligible professional services billed by practice during hospitalization	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Eligible Professional Services Billed by Your practice During Index Hospitalization category	87	Num	8	Populated only for records with MSPB_episode=1
COST_HH	MSPB home health costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Home Health category	88	Num	8	Populated only for records with MSPB_episode=1
COST_HOSPICE	MSPB hospice costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Hospice category	89	Num	8	Populated only for records with MSPB_episode=1
COST_ER_IMAGING	MSPB imaging costs in an ER setting	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, ER Imaging Services category	90	Num	8	Populated only for records with MSPB_episode=1
COST_IP_TRIGGER	MSPB inpatient costs incurred during hospitalization	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Acute Inpatient Hospital: Index Admission category	91	Num	8	Populated only for records with MSPB_episode=1
COST_IP_READMIT	MSPB inpatient costs incurred in a readmission after hospitalization within 30 days of discharge	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Acute Inpatient Hospital: Readmission category	92	Num	8	Populated only for records with MSPB_episode=1
COST_REHAB_LTCH	MSPB inpatient rehabilitation or long-term care hospital costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Inpatient Rehabilitation or Long-Term Care Hospital category	93	Num	8	Populated only for records with MSPB_episode=1
COST_ER_TESTS	MSPB lab, pathology, and other test costs in an ER setting	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, ER Laboratory, Pathology, and Other Tests category	94	Num	8	Populated only for records with MSPB_episode=1
COST_MAJOR_PROCS_ANESTHESIA	MSPB major procedure and anesthesia costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Major Procedures and Anesthesia category	95	Num	8	Populated only for records with MSPB_episode=1
COST_MINOR_PROCS_AMBULATORY	MSPB minor procedure and ambulatory service costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Ambulatory/Minor Procedures category	96	Num	8	Populated only for records with MSPB_episode=1
COST_PRTB_HOSP	MSPB other physician or supplier Part B services billed during any hospitalization	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Other Physician or Supplier Part B Services Billed During Any Hospitalization category	97	Num	8	Populated only for records with MSPB_episode=1
COST_OP_THERAPY	MSPB outpatient physical, occupational, or speech and language pathology therapy costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Outpatient Physical, Occupational, or Speech and Language Pathology Therapy category	98	Num	8	Populated only for records with MSPB_episode=1
COST_ER_PROCS	MSPB procedure costs in an ER setting	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, ER Procedures category	99	Num	8	Populated only for records with MSPB_episode=1
COST_SN	MSPB skilled nursing costs	Medicare Spending per Beneficiary (MSPB) costs for attributed beneficiary, Skilled Nursing Facility category	100	Num	8	Populated only for records with MSPB_episode=1
Note: The data in the Performance Year 2016 Beneficiary-Level RIF are current as of November 29, 2017, for the 207,151 practices subject to the Value Modifier and do not contain changes due to Informal Reviews after this date. The data do not include corrections to one practice’s 30-day All-Cause Hospital Readmission measure or corrections to 13 practices’ Medicare Spending per Beneficiary measure that affected the practices’ Value Modifier payment adjustment.
